label,risk_score
-1,0.0691942323218689
-1,0.08207071448193255
-1,0.004337517080153237
-1,0.02865685163121502
-1,0.09424799779131553
-1,0.13774379947855878
-1,0.09810923309325666
-1,0.18379744281822988
-1,0.4770407398932033
-1,0.20793942335916799
-1,0.016407982010701934
-1,0.018385085497865942
-1,0.03619651415657901
-1,0.14210201589806376
-1,0.37726608990156874
-1,0.3000638797719531
-1,0.014501258542460255
-1,0.10291657865635472
-1,0.00192960950771831
-1,0.09207072102107403
-1,0.054088055644622296
-1,0.49898379634781326
1,0.7392472249875895
-1,0.01271925770530834
-1,0.016528993933348626
-1,0.047342003751358275
-1,0.4602197267428043
-1,0.12257246195841136
-1,0.19380941602358562
-1,0.05536518313435967
-1,0.022497846918808788
-1,0.009945955123075494
-1,0.1772606283253979
-1,0.1406204607549564
-1,0.005671441245655338
-1,0.08127155096452507
-1,0.09535916038845577
-1,0.045455743021473885
-1,0.08530269190494558
1,0.5456377649092912
-1,0.0042738496983928155
-1,0.21184668437339121
-1,0.04743000724060894
-1,0.015836678549991004
-1,0.13190791123665366
-1,0.08607706020915017
-1,0.0628640677748242
1,0.6948701381622963
-1,0.03156897212306757
-1,0.18476832308646227
-1,0.1238601287067518
-1,0.06837259723834853
-1,0.09785338555368289
-1,0.01261331350548182
-1,0.012437534771553616
-1,0.09435659382049226
-1,0.40345946103138336
-1,0.06637290582773667
-1,0.011636809381817662
-1,0.008472418482563913
-1,0.01766620545315452
-1,0.03936680274092744
-1,0.017465832830047816
-1,0.006343979900434213
-1,0.028393545314088074
-1,0.15897182462383944
-1,0.025733782498698364
-1,0.008165167364327576
1,0.7655496546190527
-1,0.1603057946302676
-1,0.08756411995486696
-1,0.04751016020853463
-1,0.03097623596636113
-1,0.00396718135773353
-1,0.06690158877015952
-1,0.2565244592648711
-1,0.20066331927007966
-1,0.2484841947434976
-1,0.09253132923465435
-1,0.3891094528398496
-1,0.30340605907548035
-1,0.20256718054694084
-1,0.03233433636128175
-1,0.03522831033988043
-1,0.13048471405141304
-1,0.005913288877507185
-1,0.0986497743050631
-1,0.41934933295732896
-1,0.4196324206691683
-1,0.06999234292552385
-1,0.16915823836832386
-1,0.056433493919201855
-1,0.0259234265120307
1,0.5773842251636104
-1,0.11250290742564584
1,0.754822611563388
-1,0.08132000272193489
-1,0.06655998887877863
-1,0.0054468691943928265
-1,0.05805894134423929
-1,0.23801028763729157
-1,0.04158539610307966
-1,0.035475925074435
-1,0.34002248940494145
-1,0.015002095633623041
-1,0.022643140489823348
-1,0.0005526950501459193
-1,0.004680499202664012
-1,0.2102144659862035
-1,0.1139416245210081
-1,0.11265522572158627
-1,0.006451500062402037
-1,0.033507574336166704
-1,0.3864290597310099
-1,0.008540521647969602
-1,0.08151901764518235
-1,0.0067745740703518955
-1,0.04334773822560764
-1,0.005797562383863789
-1,0.028418253998543547
-1,0.39040882785569647
-1,0.049274009570750336
-1,0.15565263260977757
-1,0.03951219773212352
1,0.6164645926675304
-1,0.042586871572325824
-1,0.06463411163535411
-1,0.003107483931146599
-1,0.12937084522528772
-1,0.00855548971626798
-1,0.04431532867625869
1,0.5583506194467925
-1,0.017468340765765762
-1,0.004608085432866649
-1,0.1026843797775005
-1,0.04405134888865832
-1,0.31162789993351825
-1,0.05344539834811733
-1,0.004768028170117573
-1,0.23520309597646522
-1,0.22677037258408805
-1,0.13695446236779393
-1,0.012361511039748902
1,0.514954563259876
-1,0.03552025630476943
1,0.7165441925318407
-1,0.05524019757250896
-1,0.10467477132016156
-1,0.22998405673428082
1,0.5194767000082692
-1,0.1134660016774889
-1,0.023197861743253206
-1,0.10921099426186061
-1,0.022493439583763923
-1,0.4203728031359742
-1,0.2090352613265785
